variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
carbon_storage.DeepOceanInjection.carbon_storage_DeepOceanInjection_array_mix,"[35.329834230666584, 58.04898646408195, 45.7570318300752, 44.00683532748709, 3.6989853618303092, 1.8414242262639298, 1.5361638568042357, 12.599135848510274]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_storage.DeepSalineFormation.carbon_storage_DeepSalineFormation_array_mix,"[68.76053077798106, 63.98531736848887, 45.25483400804451, 42.99328980236895, 2.4866952105072593, 0.6185168289056874, 0.45214969633190977, 11.67477854692657]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_storage.DepletedOilGas.carbon_storage_DepletedOilGas_array_mix,"[68.76053077798106, 63.98531736848887, 45.25483400804451, 42.99328980236895, 2.4866952105072593, 0.6185168289056874, 0.45214969633190977, 11.67477854692657]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_storage.EnhancedOilRecovery.carbon_storage_EnhancedOilRecovery_array_mix,"[14.909888885149893, 0.05522192194123814, 0.10020223690147034, 0.1773755136898275, 0.4682830225475374, 1.348088136834494, 1.15877031009116, 10.853501896109048]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_storage.GeologicMineralization.carbon_storage_GeologicMineralization_array_mix,"[27.06172509624647, 5.891619973638714, 0.06771212729631632, 0.7421933156087999, 1.2897074188798963, 0.2516693757611913, 0.08508539288618691, 11.221576833622388]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_storage.PureCarbonSolidStorage.carbon_storage_PureCarbonSolidStorage_array_mix,"[0.447284745497298, 1e-06, 0.002683264556133653, 1.4980920613626854, 2.560308445167628, 1.7229507103140953, 1.2000400734672996, 11.994115412185069]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
deforested_surface_ctrl,"[12.344876509401397, 12.546566162142291, 12.60722800913804, 10.807123906837166, 8.41103751287496, 6.369705384851529, 5.684112464713017, 4.983330561724365]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
forest_investment_array_mix,"[0.05579290708677141, 0.003821118916880622, 1e-06, 0.3028342934230259, 2.083726138785509, 21.41020737523814, 14.79863862738392, 23.061300521814786]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
red_meat_percentage_ctrl,"[6.744039813039008, 6.741100445236898, 6.466582371777589, 6.042643432732087, 6.622113886069014, 6.8481270857768575, 6.822699665037604, 6.804052317459368]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",True,"[True, True, True, True, True, True, True, True]"
white_meat_percentage_ctrl,"[13.833217685495578, 13.832852019581965, 13.798701161115865, 13.745961905874807, 13.818049740343177, 13.95349909247264, 13.950335846337737, 13.948016061145209]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",True,"[True, True, True, True, True, True, True, True]"
share_energy_investment_ctrl,"[1.607340131651491, 1.6172109529577732, 1.6487205160779008, 1.6492396911129608, 1.6482845877663865, 1.6494600166286537, 1.6499023235888042, 1.6350555973964591]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",True,"[True, True, True, True, True, True, True, True]"
